Province/State,Country/Region,Date,Confirmed,Deaths,Lat,Long,Recovered
None,Afghanistan,1/22/20,0,0,33.0,65.0,0
None,Albania,1/22/20,0,0,41.1533,20.1683,0
None,Algeria,1/22/20,0,0,28.0339,1.6596,0
None,Andorra,1/22/20,0,0,42.5063,1.5218,0
None,Angola,1/22/20,0,0,-11.2027,17.8739,0
None,Antigua and Barbuda,1/22/20,0,0,17.0608,-61.7964,0
None,Argentina,1/22/20,0,0,-38.4161,-63.6167,0
None,Armenia,1/22/20,0,0,40.0691,45.0382,0
Australian Capital Territory,Australia,1/22/20,0,0,-35.4735,149.0124,0
New South Wales,Australia,1/22/20,0,0,-33.8688,151.2093,0
Northern Territory,Australia,1/22/20,0,0,-12.4634,130.8456,0
Queensland,Australia,1/22/20,0,0,-28.0167,153.4,0
South Australia,Australia,1/22/20,0,0,-34.9285,138.6007,0
Tasmania,Australia,1/22/20,0,0,-41.4545,145.9707,0
Victoria,Australia,1/22/20,0,0,-37.8136,144.9631,0
Western Australia,Australia,1/22/20,0,0,-31.9505,115.8605,0
None,Austria,1/22/20,0,0,47.5162,14.5501,0
None,Azerbaijan,1/22/20,0,0,40.1431,47.5769,0
None,Bahamas,1/22/20,0,0,25.0343,-77.3963,0
None,Bahrain,1/22/20,0,0,26.0275,50.55,0
None,Bangladesh,1/22/20,0,0,23.685,90.3563,0
None,Barbados,1/22/20,0,0,13.1939,-59.5432,0
None,Belarus,1/22/20,0,0,53.7098,27.9534,0
None,Belgium,1/22/20,0,0,50.8333,4.0,0
None,Benin,1/22/20,0,0,9.3077,2.3158,0
None,Bhutan,1/22/20,0,0,27.5142,90.4336,0
None,Bolivia,1/22/20,0,0,-16.2902,-63.5887,0
None,Bosnia and Herzegovina,1/22/20,0,0,43.9159,17.6791,0
None,Brazil,1/22/20,0,0,-14.235,-51.9253,0
None,Brunei,1/22/20,0,0,4.5353,114.7277,0
None,Bulgaria,1/22/20,0,0,42.7339,25.4858,0
None,Burkina Faso,1/22/20,0,0,12.2383,-1.5616,0
None,Cabo Verde,1/22/20,0,0,16.5388,-23.0418,0
None,Cambodia,1/22/20,0,0,11.55,104.9167,0
None,Cameroon,1/22/20,0,0,3.8480000000000003,11.5021,0
None,Central African Republic,1/22/20,0,0,6.6111,20.9394,0
None,Chad,1/22/20,0,0,15.4542,18.7322,0
None,Chile,1/22/20,0,0,-35.6751,-71.543,0
Anhui,China,1/22/20,1,0,31.8257,117.2264,0
Beijing,China,1/22/20,14,0,40.1824,116.4142,0
Chongqing,China,1/22/20,6,0,30.0572,107.874,0
Fujian,China,1/22/20,1,0,26.0789,117.9874,0
Gansu,China,1/22/20,0,0,37.8099,101.0583,0
Guangdong,China,1/22/20,26,0,23.3417,113.4244,0
Guangxi,China,1/22/20,2,0,23.8298,108.7881,0
Guizhou,China,1/22/20,1,0,26.8154,106.8748,0
Hainan,China,1/22/20,4,0,19.1959,109.7453,0
Hebei,China,1/22/20,1,0,39.549,116.1306,0
Heilongjiang,China,1/22/20,0,0,47.861999999999995,127.7615,0
Henan,China,1/22/20,5,0,33.882,113.61399999999999,0
Hong Kong,China,1/22/20,0,0,22.3,114.2,0
Hubei,China,1/22/20,444,17,30.9756,112.2707,28
Hunan,China,1/22/20,4,0,27.6104,111.7088,0
Inner Mongolia,China,1/22/20,0,0,44.0935,113.9448,0
Jiangsu,China,1/22/20,1,0,32.9711,119.455,0
Jiangxi,China,1/22/20,2,0,27.614,115.7221,0
Jilin,China,1/22/20,0,0,43.6661,126.1923,0
Liaoning,China,1/22/20,2,0,41.2956,122.6085,0
Macau,China,1/22/20,1,0,22.1667,113.55,0
Ningxia,China,1/22/20,1,0,37.2692,106.1655,0
Qinghai,China,1/22/20,0,0,35.7452,95.9956,0
Shaanxi,China,1/22/20,0,0,35.1917,108.8701,0
Shandong,China,1/22/20,2,0,36.3427,118.1498,0
Shanghai,China,1/22/20,9,0,31.201999999999998,121.4491,0
Shanxi,China,1/22/20,1,0,37.5777,112.2922,0
Sichuan,China,1/22/20,5,0,30.6171,102.7103,0
Tianjin,China,1/22/20,4,0,39.3054,117.323,0
Tibet,China,1/22/20,0,0,31.6927,88.0924,0
Xinjiang,China,1/22/20,0,0,41.1129,85.2401,0
Yunnan,China,1/22/20,1,0,24.974,101.48700000000001,0
Zhejiang,China,1/22/20,10,0,29.1832,120.0934,0
None,Colombia,1/22/20,0,0,4.5709,-74.2973,0
None,Congo (Brazzaville),1/22/20,0,0,-4.0383,21.7587,0
